megawatthours,Fuel MMBtus
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
--,--
1142,15869
--,--
632,10243
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
599,13763
1085,16484
0,0
1643,24766
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
6992,82820
-134,76
0,0
0,0
4625,56436
0,0
0,0
0,0
1071,11460
0,0
0,0
0,0
610,9636
17,244
279,3523
55,1039
32,460
5308,63098
636,8645
0,0
246,4046
0,0
106,1089
0,0
0,1638
111,1526
1714,32516
2202,28197
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5381,68085
0,0
0,0
0,0
0,0
0,0
0,0
--,--
--,--
--,--
-545,706
1666,24514
3571,46434
32,417
1509,18975
0,0
0,0
0,0
175,2975
0,0
0,0
0,0
0,0
0,0
0,0
200,2875
0,0
0,0
0,0
0,0
1464,22556
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14,206
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
15,288
36,535
0,0
0,0
137,2223
0,0
0,0
0,0
0,0
0,0
0,0
0,0
50,682
57,982
0,0
0,0
--,--
0,0
46,588
131,1605
1568,18875
0,0
31,412
0,0
215,2928
111,1423
0,0
0,0
0,0
0,0
203,2634
0,0
1464,19704
0,0
0,0
0,0
0,0
113,1864
291,3681
2614,34351
0,0
0,0
0,0
57,729
0,0
0,0
0,0
0,0
109,1417
0,0
0,0
0,0
0,0
0,0
27,394
0,0
0,0
0,0
0,0
0,0
0,0
118,1599
0,0
0,0
0,0
0,0
0,0
131,1746
0,0
0,0
0,0
0,0
216,2793
2127,25719
0,0
1193,19727
0,0
0,0
0,0
160,1982
0,0
0,0
0,0
0,0
0,0
259,2922
0,0
0,0
0,0
0,0
193,2434
0,0
1683,20533
0,0
0,0
0,0
0,0
0,0
146,2664
7,118
0,0
0,0
48,612
0,0
0,0
0,0
0,0
0,0
0,0
63,706
0,0
0,0
0,0
320,4639
60,717
0,0
0,0
0,0
0,0
0,0
0,0
6645,83972
0,0
0,0
0,0
0,0
0,0
78,1011
0,0
